CM_D1_cov2_1	CM_D1_cov2_2	CM_D1_cov2_3	CM_D1_Mock_1	CM_D1_Mock_2	CM_D1_Mock_3	CM_D2_cov2_1	CM_D2_cov2_2	CM_D2_cov2_3	CM_D2_Mock_1	CM_D2_Mock_2	CM_D2_Mock_3
AC090607.4	0	0	0	0	0	0	0	0	0	4	0	0
AC090616.1	0	0	0	0	0	0	0	0	0	0	0	3
AC090616.2	0	0	0	0	0	0	0	0	1	0	0	0
AC090616.3	0	0	0	0	0	0	0	0	0	0	0	0
AC090616.6	8	4	9	13	3	8	13	49	36	1	4	4
AC090616.7	2	2	6	6	6	1	6	7	1	2	2	3
AC090617.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090617.10	0	0	0	0	0	0	0	0	0	0	0	0
AC090617.2	0	0	0	0	0	0	0	0	0	0	0	0
AC090617.3	0	0	0	0	1	0	0	0	0	1	0	1
AC090617.4	2	0	2	0	2	0	7	2	3	0	0	1
AC090617.5	0	0	0	0	0	0	0	0	0	0	0	0
AC090617.6	0	2	0	0	2	2	6	4	1	0	0	1
AC090617.7	0	0	0	0	0	0	0	0	0	0	0	0
AC090617.8	0	0	0	0	0	0	0	0	0	0	0	0
AC090638.1	1	0	0	0	0	1	0	0	0	1	0	0
AC090651.1	0	0	0	0	0	0	0	0	0	1	0	0
AC090673.1	2	0	0	1	0	0	0	1	1	1	0	0
AC090673.2	0	0	0	0	0	0	0	0	0	0	0	0
AC090680.1	0	0	0	0	1	0	0	0	0	0	1	3
AC090686.1	0	0	1	5	1	0	0	3	0	0	0	1
AC090692.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090695.1	0	0	0	0	0	0	0	0	0	0	1	0
AC090699.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090709.1	0	0	1	1	3	3	0	0	1	0	1	1
AC090739.1	3	2	4	0	8	10	5	3	3	12	3	7
AC090740.1	0	0	0	0	0	0	0	0	0	0	0	1
AC090751.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090771.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090772.1	0	0	1	0	0	0	9	3	7	0	0	0
AC090772.3	0	2	0	2	0	8	3	0	0	0	0	2
AC090774.3	0	0	0	1	0	0	0	0	0	0	0	0
AC090791.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090796.1	0	0	0	0	0	0	0	0	0	1	1	1
AC090802.1	0	0	0	0	0	6	0	0	0	1	0	0
AC090804.1	0	0	0	0	0	0	0	0	1	1	1	3
AC090809.1	0	0	1	2	8	1	0	0	0	2	4	1
AC090820.1	0	0	0	0	0	0	0	0	0	0	0	1
AC090825.1	2	5	5	12	8	10	7	1	1	5	9	6
AC090825.2	1	0	0	0	0	0	2	2	4	0	0	0
AC090826.1	0	0	0	0	1	0	0	1	0	2	2	0
AC090826.2	5	16	20	27	20	24	2	0	0	20	29	22
AC090826.3	0	0	0	0	0	0	0	0	0	0	0	0
AC090833.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090844.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090844.2	1	0	1	3	5	6	0	0	0	3	2	2
AC090844.3	0	0	0	0	0	0	0	0	0	0	0	0
AC090877.1	0	1	0	0	0	0	0	1	0	0	0	0
AC090877.2	0	0	0	0	0	0	0	0	0	0	0	0
AC090897.1	1	0	0	2	4	1	0	0	1	3	2	5
AC090907.1	0	0	0	0	2	3	0	0	0	1	0	0
AC090907.2	0	1	0	0	2	1	2	1	1	2	1	2
AC090912.1	2	0	3	5	12	7	0	1	2	0	4	1
AC090912.2	0	0	0	5	8	11	0	0	0	2	2	3
AC090912.3	0	1	0	1	2	0	0	0	0	0	0	0
AC090921.1	0	0	0	0	0	0	1	8	4	0	0	0
AC090922.1	1	1	6	5	5	4	7	17	15	3	3	1
AC090948.1	0	5	0	7	3	5	0	0	0	1	5	6
AC090948.2	3	7	4	9	15	19	1	2	1	10	7	12
AC090948.3	7	1	1	5	2	4	0	0	4	4	7	6
AC090950.1	0	0	0	1	0	0	0	0	0	0	0	0
AC090950.2	0	0	0	0	0	2	0	0	0	0	0	0
AC090952.1	0	0	0	1	0	0	0	0	0	0	0	5
AC090952.2	0	0	0	0	0	0	0	0	0	0	0	0
AC090970.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090970.2	1	0	0	6	2	1	1	0	2	0	3	0
AC090970.3	1	0	1	15	8	4	1	4	4	4	1	5
AC090971.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090971.2	0	0	0	4	0	0	0	0	0	0	0	0
AC090971.3	0	1	2	4	5	6	6	6	3	3	1	3
AC090971.4	0	0	0	0	4	0	1	2	0	0	0	1
AC090971.5	0	0	0	0	0	0	0	0	0	0	0	0
AC090983.1	0	0	1	1	0	0	0	0	0	1	0	1
AC090984.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091021.1	0	0	0	0	0	0	0	0	0	0	1	1
AC091042.1	0	0	0	0	0	0	0	1	0	0	0	1
AC091043.1	0	0	0	2	0	0	0	0	0	1	1	0
AC091045.1	0	0	0	0	0	0	3	0	0	0	1	0
AC091046.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091046.3	0	2	0	5	12	2	8	5	7	5	1	1
AC091053.1	1	0	1	6	3	1	1	5	5	2	0	1
AC091057.1	0	0	0	5	11	3	0	1	0	2	1	2
AC091057.3	0	0	0	5	3	6	3	1	0	0	1	4
AC091059.2	0	0	0	0	0	0	0	0	1	1	0	1
AC091060.1	7	2	1	7	5	3	2	1	0	7	3	4
AC091062.1	0	0	0	0	0	0	0	0	0	1	0	0
AC091073.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091076.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091078.1	0	0	0	0	0	0	0	0	0	1	0	0
AC091078.2	0	0	0	0	0	0	0	0	0	0	0	0
AC091096.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091100.1	0	0	2	0	0	0	0	0	0	0	0	1
AC091114.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091132.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091132.4	0	0	0	0	0	0	0	0	0	0	0	0
AC091132.5	1	1	0	4	2	5	0	1	1	3	3	4
AC091132.6	0	0	0	0	0	0	0	0	0	0	0	0
AC091133.1	2	6	2	18	16	4	12	13	20	5	6	13
AC091133.2	5	4	6	41	33	30	1	0	5	8	8	30
AC091133.3	0	0	0	0	0	0	0	0	0	0	1	1
AC091133.4	3	1	1	4	7	1	12	22	16	3	1	2
AC091133.5	2	2	0	3	1	2	1	0	2	1	3	3
AC091138.1	1	1	3	22	12	10	1	0	1	10	6	5
AC091144.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091144.2	1	0	0	0	2	0	1	1	0	0	0	0
AC091147.1	0	2	0	2	1	6	1	1	1	2	0	13
AC091152.1	0	0	0	1	0	0	0	0	1	0	0	1
AC091152.2	2	8	9	4	7	6	3	6	5	0	2	7
AC091152.4	0	2	1	9	19	5	0	0	0	11	2	5
AC091153.1	6	0	3	4	6	1	1	0	0	0	1	1
AC091153.3	2	4	6	13	19	7	1	0	2	3	2	9
AC091167.1	0	0	0	4	6	1	2	0	1	5	2	6
AC091167.3	2	3	1	2	1	0	0	0	4	2	2	0
AC091167.5	0	1	0	0	0	0	0	0	0	0	0	0
AC091167.6	0	0	0	1	0	1	1	0	0	1	0	0
AC091167.7	0	0	0	0	0	0	0	0	1	0	0	0
AC091173.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091178.1	0	3	3	22	25	14	3	3	6	6	7	3
AC091179.1	0	0	0	0	2	1	2	1	2	2	0	2
AC091180.1	0	0	0	0	0	1	0	1	0	0	0	0
AC091180.2	0	0	0	1	3	7	0	0	0	1	2	5
AC091180.3	0	0	0	0	1	0	0	2	0	0	1	0
AC091180.4	0	0	0	0	0	0	1	0	1	0	1	0
AC091180.5	0	0	0	0	0	0	0	0	0	0	0	0
AC091181.1	0	0	0	0	3	1	0	0	0	5	2	1
AC091182.1	0	0	0	7	1	3	0	0	0	4	0	0
AC091182.2	1	0	0	0	0	0	0	1	1	0	1	1
AC091185.1	3	2	0	3	0	0	2	1	2	1	3	1
AC091198.1	1	0	0	0	0	0	0	3	0	0	0	0
AC091212.1	0	0	0	3	2	2	0	0	0	2	0	2
AC091230.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091231.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091271.1	10	9	8	77	67	54	3	4	6	29	22	34
AC091304.2	0	0	0	0	0	0	0	0	0	1	0	0
AC091305.1	0	0	0	0	0	0	0	0	0	0	1	1
AC091305.2	0	0	0	4	3	8	0	0	0	5	4	3
AC091390.2	0	0	0	0	0	0	0	0	0	0	0	0
AC091390.4	4	4	0	0	6	3	0	0	0	2	0	3
AC091429.1	1	4	3	25	17	22	2	5	6	15	14	11
AC091435.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091435.2	0	0	0	0	0	0	0	0	0	0	0	0
AC091488.1	1	0	0	0	0	2	0	0	0	0	2	2
AC091492.1	0	0	0	0	1	0	0	1	0	0	0	1
AC091493.1	0	0	0	0	0	1	0	0	0	0	0	1
AC091516.1	0	0	0	1	1	1	0	0	0	1	1	0
AC091534.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091544.2	0	0	0	0	0	0	0	0	0	0	0	0
AC091544.3	0	0	1	16	2	4	0	0	0	2	3	3
AC091544.5	7	6	4	4	3	3	4	8	2	1	1	7
AC091544.6	0	0	0	1	0	0	0	0	0	0	0	0
AC091544.8	0	0	0	0	0	0	0	0	0	0	0	0
AC091563.1	0	0	1	2	5	2	0	1	0	0	2	2
AC091564.1	0	0	0	1	0	0	0	0	0	2	0	2
AC091564.2	6	2	1	1	8	8	27	40	39	1	8	3
AC091564.4	0	0	1	0	0	0	2	2	0	0	0	0
AC091564.5	0	0	0	0	0	0	0	0	0	0	0	0
AC091564.6	0	0	0	1	0	0	0	0	0	0	0	0
AC091564.7	0	0	0	0	0	0	0	0	0	0	0	0
AC091588.2	1	0	0	0	0	0	0	0	0	0	0	0
AC091588.3	1	0	0	0	0	1	0	0	0	0	0	0
AC091607.1	0	0	0	1	1	0	0	0	0	0	2	0
AC091614.1	0	0	0	1	0	0	0	0	2	0	0	0
AC091685.2	0	0	1	1	8	3	4	1	2	2	6	5
AC091691.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091729.2	0	0	0	0	0	0	1	0	0	0	0	0
AC091729.3	14	11	23	111	107	111	1	2	4	34	37	51
AC091736.1	1	0	0	2	0	0	0	2	0	0	1	2
AC091769.2	0	0	0	0	0	0	0	0	0	0	0	1
AC091799.1	0	0	0	0	0	1	0	0	0	1	0	0
AC091804.1	0	1	0	1	0	0	0	1	0	2	0	0
AC091805.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091806.1	0	3	2	4	3	2	13	5	6	7	7	7
AC091807.1	0	0	0	0	0	0	0	0	0	0	1	0
AC091808.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091825.1	1	4	4	10	10	9	1	2	4	9	12	5
AC091839.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091849.2	0	2	1	0	0	0	0	0	0	0	0	0
AC091860.1	0	0	0	0	1	0	0	0	0	0	0	0
AC091860.2	0	0	0	1	0	0	0	0	0	0	0	0
AC091868.1	0	0	0	0	0	0	1	0	0	0	1	0
AC091874.1	0	0	0	0	0	2	0	0	0	1	4	0
AC091885.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091887.1	0	0	0	0	0	0	1	0	1	0	0	0
AC091891.1	0	0	0	1	0	5	1	0	0	0	2	0
AC091901.1	0	0	0	0	0	0	0	0	0	0	1	1
AC091906.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091925.1	0	0	0	0	0	0	0	1	0	0	0	2
AC091932.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091940.1	1	4	0	8	14	5	0	0	0	5	4	3
AC091946.1	0	1	1	6	1	0	0	0	2	0	1	0
AC091946.2	0	0	0	0	0	0	0	0	0	0	0	0
AC091948.1	5	4	7	9	11	19	2	3	6	16	20	19
AC091959.1	0	0	0	0	1	1	0	0	0	2	2	0
AC091959.2	0	0	0	0	0	0	0	0	0	1	0	0
AC091959.3	0	0	0	0	0	0	0	0	0	0	0	0
AC091965.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091965.2	0	0	0	0	0	0	0	0	0	0	0	0
AC091965.4	0	0	1	1	0	0	0	0	0	0	0	0
AC091965.5	0	0	0	1	1	0	0	0	0	0	0	0
AC091976.1	0	4	0	2	0	1	0	0	0	3	4	0
AC091979.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091980.1	0	0	0	0	0	0	0	0	0	0	0	0
AC091982.1	4	0	6	12	10	4	1	0	2	6	8	8
AC091982.3	0	0	0	0	0	1	30	17	25	0	0	0
AC091982.4	1	0	3	11	13	14	0	1	1	6	5	12
AC092017.1	0	0	0	4	0	3	1	1	2	3	5	4
AC092017.2	0	0	0	0	0	0	0	0	0	1	1	1
AC092017.4	0	0	0	0	0	0	0	0	0	0	0	4
AC092035.1	0	0	0	0	0	0	0	0	0	0	1	0
AC092042.1	0	0	0	0	0	0	0	0	0	0	2	0
AC092042.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092042.3	0	0	0	1	3	0	0	0	0	0	1	0
AC092045.1	1	2	0	5	3	0	0	5	5	1	2	2
AC092047.1	0	0	0	0	0	0	0	0	0	0	0	1
AC092053.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092066.1	0	0	0	0	0	0	0	0	2	0	0	0
AC092068.2	1	0	0	0	0	0	0	0	0	0	0	0
AC092068.3	0	0	0	0	0	0	0	0	0	0	1	0
AC092069.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092070.2	15	14	24	109	95	114	6	13	2	60	73	73
AC092071.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092079.1	0	0	0	0	0	0	0	0	0	0	0	1
AC092098.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092104.1	0	0	0	0	0	0	0	0	0	1	0	0
AC092106.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092106.2	0	0	0	1	0	0	2	0	0	1	0	0
AC092106.3	0	0	0	0	0	0	0	0	0	0	0	0
AC092111.1	1	0	0	14	3	4	0	2	0	4	5	5
AC092111.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092112.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092115.1	6	3	3	16	23	9	2	4	2	6	10	13
AC092115.2	0	0	0	0	1	0	0	0	0	0	0	1
AC092115.3	0	0	1	0	4	1	0	2	2	1	0	0
AC092117.1	8	32	14	85	85	87	8	10	3	33	41	50
AC092117.2	0	0	0	3	1	0	0	0	0	2	0	2
AC092118.1	0	0	0	0	3	0	2	1	0	1	0	3
AC092118.2	3	1	1	4	2	6	0	1	0	1	0	1
AC092119.1	1	0	0	0	0	0	0	0	1	0	0	0
AC092119.2	9	11	8	43	27	32	1	0	5	18	19	7
AC092119.3	0	1	0	2	3	1	1	0	0	1	1	0
AC092120.1	0	0	5	1	0	0	0	0	0	0	0	0
AC092120.2	1	0	0	0	0	0	0	0	0	0	0	0
AC092121.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092123.1	2	0	2	5	6	7	2	0	0	4	2	7
AC092123.2	18	9	22	35	39	36	2	8	3	21	30	21
AC092125.1	0	0	0	3	0	0	0	0	0	0	0	0
AC092127.1	2	0	0	0	9	1	0	0	1	1	2	2
AC092127.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092131.1	0	0	0	6	0	7	0	2	0	3	1	5
AC092134.1	0	0	1	0	0	0	0	0	0	0	0	0
AC092134.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092135.1	0	0	0	0	0	0	2	1	1	0	0	3
AC092135.3	1	1	0	0	2	0	0	0	0	0	0	1
AC092139.1	0	0	0	1	0	1	0	1	0	2	0	0
AC092139.4	0	0	0	1	4	0	0	0	0	0	0	0
AC092140.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092140.2	1	0	0	5	7	6	0	0	0	1	1	10
AC092142.1	0	2	2	12	7	6	0	0	1	6	1	2
AC092143.2	0	0	0	2	0	1	0	0	0	0	3	0
AC092143.3	0	0	0	0	0	0	1	5	3	0	0	0
AC092143.4	0	0	1	0	0	4	0	0	0	0	0	0
AC092155.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092155.2	0	0	0	0	0	0	1	0	0	1	0	0
AC092159.2	5	4	5	27	29	32	0	0	0	16	10	8
AC092159.3	0	0	0	0	0	0	0	0	0	0	0	0
AC092159.4	0	4	1	2	2	0	0	0	0	1	2	1
AC092162.3	0	0	0	0	0	1	0	0	0	1	1	1
AC092164.1	1	5	2	14	18	13	0	0	0	7	10	9
AC092167.1	0	0	2	4	2	0	0	0	2	2	3	0
AC092168.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092168.2	0	0	0	0	0	0	0	0	0	2	0	0
AC092171.1	0	0	0	0	0	1	0	1	0	0	1	0
AC092171.2	0	0	0	0	0	0	0	0	0	0	1	0
AC092171.3	0	2	1	8	7	7	0	0	0	2	5	2
AC092171.4	13	24	14	34	37	13	1	3	1	17	14	18
AC092171.5	8	16	8	36	38	27	2	2	1	21	12	24
AC092183.1	0	0	0	0	0	0	0	0	0	2	0	0
AC092184.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092198.1	0	1	0	4	4	10	0	0	0	4	8	3
AC092265.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092268.1	0	0	0	0	0	0	0	0	0	1	0	0
AC092279.1	9	27	25	98	72	78	3	6	4	34	36	42
AC092279.2	7	8	5	20	30	14	2	3	0	14	9	14
AC092287.1	0	3	0	5	2	8	0	0	1	1	5	3
AC092295.1	0	3	0	0	1	1	0	0	0	0	0	1
AC092295.2	1	0	5	27	14	26	4	6	4	4	6	8
AC092296.1	0	0	2	0	0	0	0	0	0	0	0	0
AC092296.2	0	0	0	0	0	0	0	0	0	1	0	0
AC092301.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092316.1	0	0	0	0	0	0	0	0	0	0	0	3
AC092324.1	0	0	0	0	0	0	0	0	0	0	0	1
AC092327.1	0	0	0	0	1	0	0	0	0	0	0	0
AC092327.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092329.4	9	21	24	82	87	67	3	4	7	25	38	43
AC092332.1	0	0	0	1	0	0	0	0	0	0	0	0
AC092335.1	3	1	1	20	16	24	0	0	0	18	10	12
AC092336.1	0	0	0	1	0	0	0	0	0	0	0	0
AC092338.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092338.2	0	0	0	1	1	0	0	0	0	0	0	0
AC092343.1	0	2	0	1	0	0	0	0	0	0	0	0
AC092354.1	0	0	0	0	1	3	0	0	0	1	0	1
AC092354.2	3	0	1	13	7	3	0	0	0	1	3	5
AC092364.1	0	0	0	0	0	0	1	0	0	0	0	0
AC092364.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092368.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092368.3	9	6	2	6	8	7	1	3	6	3	7	4
AC092373.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092375.2	1	0	3	1	0	0	0	0	0	2	0	3
AC092376.1	0	1	2	0	0	0	0	0	0	0	0	1
AC092376.2	10	20	10	5	12	10	5	4	2	8	9	8
AC092378.1	0	0	0	0	0	1	0	0	0	0	1	1
AC092384.1	0	0	0	0	0	0	0	1	3	0	0	0
AC092384.2	0	1	0	0	0	2	0	2	1	0	0	0
AC092384.3	1	0	0	1	1	1	0	0	0	0	2	1
AC092393.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092418.1	0	0	0	0	0	0	0	1	1	3	1	3
AC092422.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092427.1	0	0	2	0	0	0	0	0	0	1	2	0
AC092431.2	0	0	0	1	0	1	0	0	0	0	2	2
AC092435.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092435.4	0	0	0	0	0	0	0	0	0	0	0	0
AC092436.1	0	0	0	0	0	0	1	0	0	0	0	1
AC092437.1	0	3	4	14	13	12	1	2	0	4	7	8
AC092447.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092447.10	0	0	0	0	0	0	0	0	0	1	0	0
AC092447.2	0	1	1	3	5	4	1	3	1	7	6	5
AC092451.2	0	0	0	2	0	2	0	0	0	0	0	0
AC092468.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092470.1	0	0	0	1	0	0	0	0	0	0	0	0
AC092471.1	4	0	4	15	3	10	0	0	0	8	5	6
AC092473.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092474.2	1	0	0	0	0	0	1	4	1	0	0	0
AC092474.3	1	0	0	3	0	0	0	0	1	0	0	0
AC092490.1	36	52	42	87	98	129	20	27	27	44	48	57
AC092490.3	0	0	0	0	0	0	0	0	0	0	0	0
AC092506.1	0	0	0	0	1	0	0	0	1	0	1	0
AC092535.1	0	0	2	0	0	1	0	0	0	0	1	2
AC092535.2	0	0	1	5	0	1	0	0	0	1	0	0
AC092535.4	0	0	0	0	0	0	0	0	0	0	1	0
AC092552.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092570.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092570.3	1	0	0	0	0	0	0	0	0	0	1	0
AC092573.1	0	0	0	0	0	0	1	2	0	1	0	0
AC092573.2	0	0	0	0	1	1	0	0	0	0	0	3
AC092574.1	2	0	8	0	1	0	0	0	0	1	1	1
AC092574.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092587.1	0	0	0	0	0	0	0	2	0	0	0	0
AC092590.1	0	0	0	0	0	0	0	0	1	0	0	0
AC092597.1	5	5	11	30	24	24	10	5	7	23	11	14
AC092598.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092610.1	0	0	2	6	0	8	0	0	1	0	3	1
AC092611.1	9	18	19	0	0	1	9	11	10	0	0	0
AC092611.2	1	4	4	5	2	6	0	2	0	5	1	5
AC092611.3	8	11	12	12	12	25	3	3	4	14	5	8
AC092612.1	0	0	0	0	0	1	1	0	0	0	0	0
AC092614.1	3	7	0	12	12	23	0	0	3	5	8	9
AC092620.1	4	7	1	2	0	0	10	10	12	1	1	2
AC092620.2	0	1	0	1	0	0	1	0	1	0	0	0
AC092625.1	1	0	0	0	0	0	0	0	0	0	0	0
AC092628.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092634.4	0	0	0	0	0	0	0	0	0	0	0	0
AC092634.6	0	0	0	0	0	0	0	0	0	0	0	0
AC092636.1	1	0	1	5	4	6	4	0	1	2	1	2
AC092638.2	0	0	0	0	0	0	0	0	0	0	1	0
AC092641.1	1	0	0	0	0	1	0	0	1	1	0	1
AC092642.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092645.1	0	6	1	7	7	6	1	0	1	2	1	0
AC092646.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092646.2	0	0	0	0	0	0	1	1	0	0	0	0
AC092647.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092647.2	0	0	0	1	0	0	0	0	1	1	0	3
AC092647.3	0	0	0	0	0	0	0	0	0	0	0	0
AC092647.5	0	0	1	1	2	6	0	0	0	2	0	0
AC092650.1	0	0	0	1	1	0	0	0	0	3	2	1
AC092652.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092653.1	1	0	1	0	0	0	0	0	0	0	0	0
AC092653.2	0	0	1	4	1	0	0	0	0	0	0	1
AC092656.1	0	0	0	4	4	1	0	2	0	0	0	0
AC092658.1	0	4	1	0	5	0	0	1	0	0	0	0
AC092667.1	0	0	0	18	8	4	0	1	2	4	3	8
AC092670.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092675.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092681.1	0	0	0	0	0	0	0	0	0	0	1	0
AC092681.3	0	0	0	0	0	0	0	0	0	0	0	0
AC092683.1	7	5	1	24	27	10	0	1	0	5	10	13
AC092685.1	1	2	3	0	4	0	1	0	0	1	2	0
AC092687.1	0	0	0	0	0	0	0	0	0	1	0	0
AC092687.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092687.3	10	34	27	18	16	7	25	27	17	5	8	3
AC092691.1	0	1	1	1	4	2	3	5	4	0	4	4
AC092691.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092692.1	0	1	0	1	4	2	0	1	1	0	1	0
AC092709.1	1	0	0	4	1	0	0	0	0	0	0	0
AC092718.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092718.2	0	0	0	0	0	0	0	0	1	0	0	1
AC092718.3	3	1	3	5	5	7	0	1	2	6	4	11
AC092718.4	10	22	10	112	125	83	19	16	25	30	42	47
AC092718.7	2	4	2	1	2	1	0	0	2	0	0	4
AC092718.8	0	2	1	2	4	1	0	0	0	0	0	1
AC092720.1	1	4	0	1	4	3	0	0	0	7	0	1
AC092720.2	0	1	2	13	13	14	1	0	0	2	12	13
AC092724.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092725.2	0	1	0	7	15	4	1	2	6	10	8	16
AC092745.1	0	0	0	0	0	0	1	1	0	0	0	0
AC092745.2	1	1	2	8	12	16	2	1	3	5	1	4
AC092747.2	3	10	6	3	0	1	0	1	1	0	1	2
AC092747.4	12	13	8	75	48	63	10	12	9	32	27	31
AC092754.1	0	1	0	0	0	0	1	0	1	0	0	1
AC092755.1	0	0	0	0	0	0	0	1	0	0	0	0
AC092755.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092756.1	0	0	0	0	0	0	0	0	0	0	2	0
AC092757.1	0	0	0	0	0	0	0	0	0	0	0	1
AC092757.2	0	0	6	0	0	1	0	0	0	0	0	0
AC092757.3	0	0	0	4	2	1	2	0	2	0	2	2
AC092769.1	1	0	0	2	0	0	0	2	0	2	4	1
AC092794.1	1	0	0	3	0	4	0	1	0	3	1	3
AC092794.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092798.1	0	0	1	0	0	1	2	0	1	3	1	0
AC092800.1	0	0	0	0	0	0	0	1	0	0	0	0
AC092802.1	0	1	0	2	0	5	1	0	0	2	1	2
AC092802.3	0	0	0	2	0	6	1	0	1	0	1	0
AC092803.2	6	3	9	12	14	10	6	2	8	7	16	9
AC092807.1	0	0	0	0	0	0	1	0	0	0	0	0
AC092807.2	0	0	2	0	0	0	0	0	0	0	0	0
AC092807.3	8	9	2	36	28	32	19	14	4	8	15	17
AC092809.2	0	0	0	0	0	2	0	0	0	0	0	0
AC092809.3	0	0	1	0	0	2	0	0	0	1	0	0
AC092809.4	0	0	0	6	1	0	5	2	1	0	2	4
AC092810.1	0	0	0	1	0	0	0	0	0	0	0	0
AC092810.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092811.1	1	0	0	0	0	2	0	0	0	1	0	0
AC092813.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092813.2	0	0	0	0	1	0	0	0	0	0	0	0
AC092818.1	1	0	0	0	0	0	0	0	0	0	0	0
AC092821.1	8	5	12	11	15	6	3	4	3	5	13	10
AC092821.2	0	0	0	0	0	0	0	0	0	0	0	0
AC092828.1	0	2	0	4	0	0	2	1	2	0	2	7
AC092834.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092835.1	11	27	16	67	65	55	4	6	3	22	33	40
AC092839.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092849.1	0	2	0	2	0	0	3	0	1	1	0	2
AC092849.2	0	0	0	0	0	0	3	3	2	0	0	1
AC092850.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092851.1	0	0	0	0	0	0	0	0	0	1	0	0
AC092862.1	0	0	0	0	1	0	0	0	0	0	1	2
AC092865.4	0	0	0	6	1	2	0	2	1	7	4	3
